tag,category
athleisure,style
summer,season-weather
winter,season-weather
transitional,season-weather
business,style
button-up-shirt,garment-type
streetwear,style
cotton,material
preppy,style
basics,style
pants,garment-type
cropped,length
cardigan,garment-type
turtleneck,garment-type
hoodie,garment-type
leggings,garment-type
skirt,garment-type
trench-coat,garment-type
high-rise,rise
long-sleeve,sleeve
blazer,garment-type
button-front,detail
stretch,detail
loungewear,style
sweater,garment-type
dress,garment-type
t-shirt,garment-type
polo,garment-type
blouse,garment-type
flannel-shirt,garment-type
shorts,garment-type
jeans,garment-type
sweatpants,garment-type
jacket,garment-type
knit,material
navy,color
quarter-zip,detail
pajama-set,garment-type
short-sleeve,sleeve
slim-fit,fit
outdoor,style
crop-top,garment-type
oversized,fit
wide-leg,fit
midi,length
quarter-zip-pullover,garment-type
fleece,material
boho,style
maxi,length
straight-leg,fit
relaxed-fit,fit
denim,material
floral,pattern
shirt,garment-type
plaid,pattern
ribbed-knit,material
mini,length
down,material
v-neck,neckline
wool,material
pullover,detail
tank-top,garment-type
minimalist,style
pockets,detail
workwear,style
jersey,material
striped,pattern
ruffled,detail
collared,neckline
lace,material
baggy,fit
crew-neck,neckline
pajamas,garment-type
linen,material
poplin,material
graphic-print,pattern
lightweight,season-weather
retro,style
black,color
twill,material
satin,material
printed,pattern
alternative,style
crepe,material
casual,style
non-iron,detail
y2k,style
double-breasted,detail
hooded,detail
regular-fit,fit
sleeveless,sleeve
blue,color
belted,detail
zip-front,detail
loose-fit,fit
cashmere,material
cable-knit,detail
fitted,fit
sweatshirt,garment-type
logo,pattern
checkered,pattern
flared,fit
pink,color
gray,color
mid-rise,rise
top,garment-type
merino,material
mesh,material
pointelle,detail
boxy,fit
chiffon,material
solid,pattern
embroidered,detail
puffer-jacket,garment-type
low-rise,rise
cargo-pockets,detail
pleated,detail
heavyweight,season-weather
ruched,detail
midweight,season-weather
smocked,detail
western,style
white,color
a-line,fit
ankle-length,length
bomber-jacket,garment-type
silk,material
tailored,fit
insulated,season-weather
barrel-leg,fit
jacquard,pattern
bootcut,fit
faux-leather,material
wrap,detail
joggers,garment-type
nylon,material
off-shoulder,neckline
square-neck,neckline
formal,style
green,color
skinny-leg,fit
modal,material
suede,material
three-quarter-sleeve,sleeve
brown,color
cutout,detail
leather,material
high-neck,neckline
techwear,style
curvy-fit,fit
sweetheart-neck,neckline
color-blocked,pattern
puff-sleeve,sleeve
olive,color
red,color
terry,material
cowl-neck,neckline
halter-neck,neckline
mock-neck,neckline
one-shoulder,neckline
animal-print,pattern
herringbone,pattern
pinstriped,pattern
beige,color
half-zip,detail
lace-up,detail
ripped,detail
slit,detail
tie-front,detail
jumpsuit,garment-type
longline,length
sheer,detail
tiered,detail
activewear-set,garment-type
non-apparel,garment-type
sports-bra,garment-type
canvas,material
polyester,material
scoop-neck,neckline
backless,detail
rayon,material
viscose,material
paisley,pattern
wind-resistant,season-weather
charcoal,color
off-white,color
drop-waist,detail
sequined,detail
bra,garment-type
gauze,material
scuba,material
strapless,neckline
resort,style
orange,color
distressed,detail
quilted,detail
reversible,detail
bodycon,fit
tapered-leg,fit
coat,garment-type
mid-thigh,length
faux-fur,material
boat-neck,neckline
polka-dot,pattern
drawstring,rise
burgundy,color
cream,color
packable,detail
fit-and-flare,fit
long-sleeve-top,garment-type
sherpa,material
tricot,material
camouflage,pattern
water-resistant,season-weather
gold,color
lavender,color
yellow,color
fringe,detail
socks,garment-type
vest,garment-type
knee-length,length
organza,material
velvet,material
notch-neck,neckline
tropical,pattern
elastic-waist,rise
multicolor,color
purple,color
tan,color
spaghetti-straps,detail
bodysuit,garment-type
pajama-pants,garment-type
singlet,garment-type
tunic,garment-type
lyocell,material
abstract,pattern
geometric,pattern
tie-dye,pattern
waterproof,season-weather
