item_name,item_price,item_gender,item_img,item_web_listing
'Untamed' Women's Crop Top Shirt,$32.00,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTNWbotHD-W4WpMK9pbeH7viDbkQmTnKsZI5ElmRvWRBSudPpQIV1ZWDnYzNC-SOVcnWOtKGWmgykMSP710gQX3EA6ZemwLCNhzl0TPbOS4hJL9MZVq1dw_yg,https://www.rokfit.com/products/untamed-crop-top?variant=43273255845981&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopGLhkI3lZ3Dc4m94Ca6FcFgXb0T9ACINmGjx-DVXTcGOOgq8RfP-U
12th Tribe Women's Toulouse Crop Top,$44.00,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS906HMocp5gXQJj_mBEDYkIIi2mCr7gQIy0wbP7LH2wL-nCV631z1gluXH6kZFmvVWZcG8Z9BRsTWKl67LKEGup2DbDevQ,https://www.mercari.com/us/item/m41180773129/?srsltid=AfmBOop4cORaOdq15838E7blXFbTAw3rDcDNm8AED1w_73_wL8x_f8mUMxE
Abercrombie & Fitch Women's Ava Top,$45.00,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRP1g2T2-HnMDAQgL3D6yHgR4W7dDbSiobzvGdRPBmBqKKt-KPUhGMRhGg7jNQIrxh8_OlFew9J3E6q_fLSEl4Uh6L86wUK,https://www.abercrombie.com/shop/us/p/the-a-and-f-ava-top-60553319?seq=43&source=googleshopping
Abercrombie & Fitch Women's Cropped Bubble Hem Cami,$14.99,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTWuUMQ_NYMZV0E5p2DwEn7ucnQbP5TiX5aj_b59dTH8n1ClR2uqEgvdQXO9XR7fplPrnMK-ZEvm4uu9m0MAR-EPueQ4KBKTA,https://www.abercrombie.com/shop/us/p/cropped-bubble-hem-cami-59673328?seq=01&source=googleshopping
Abercrombie & Fitch Women's Ultra Cropped Bow-Back Cami Top,$22.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT6c3Tqzsl3EWhnn2AipcrgvGjykPnTQUHMVis2pvHv1plARzufbJmQB2pk6WMrANBS4Amw-1ka4npGOWlLuzf3g_lxmT67,https://www.abercrombie.com/shop/us/p/ultra-cropped-bow-back-cami-top-62089819?seq=02&source=googleshopping
AE Women's Ruffled Crop Top,$24.97,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRE7srr0M9rccCDyNrxiO904APGIdEDDtz5992Yhyof8gczL0fyENkeuagkJpmS4YhC40TtmFiT0GhXgrmn91mR3bMAP9lN,https://www.ae.com/us/en/p/women/shirts-blouses/blouses/ae-ruffled-crop-top/0358_6616_839?menu=cat4840004
Aerie Let's Stretch Cropped T-Shirt,$24.46,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSKr1GpzIiHIGi8EGR9OtJbNdpBIkakhM4K3COy1ERQ80HDJ9pD_qsGVHj8iTXGULuhEoTlVkU9SLeTxJgTKJ2XDTW3beZa,https://www.ae.com/us/en/p/aerie/tops/t-shirts/offline-by-aerie-let-s-stretch-cropped-t-shirt/2161_2083_100?menu=cat1090003&ip=off
"AFRM Spring Blush Bouquet Darya O-Ring Detail Crop Tank Top in Assorted, Women's XL at Urban Outfitters",$48.00,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS-YpOfFiBPgJPce6nJNzV44TClAjZnwqnVem3H5RA-iDCnAEeckLFpLwrnvOI7YBn5f4BYFK-rIZzrKFdFNRhK9zDW58QgrA,https://www.urbanoutfitters.com/shop/afrm-spring-blush-bouquet-darya-o-ring-detail-crop-tank-top?color=065&size=XL&type=STANDARD&srsltid=AfmBOoo1cNg0H3il21rizTt6EiSNzLrwaxPtXuqkd52m7bYYaDBfh7WAUhs
Akira Best Guest Lace Crop Blouse,$29.95,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS401JfXE7aTEofEg8fcWf-2evFnX-ronIYqw1D3qMQPYsnMcCbAR_rdF7NkT7LjvL7yoCoyDCnifi91DAiOSM-bVfDs9Tz9rq7Fg6eTEHYdbLwTbTqDs8Jlw,https://shop.tiktok.com/us/pdp/romantic-sheer-navy-lace-crop-blouse-with-metallic-overlay/1731726298428772611
All in Favor Women's Sleeveless Shirred Crop Top,$45.00,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTE76ernubSxXeC0roblnqnAXjSuV-IcykZvl8lhwIrUMafwQaQB4gWh90Kto8lwB97NeRAEokK-vSt1UZR4DQLhUQjLTIfCw,https://www.lyst.com/clothing/all-in-favor-all-977/?product=SHFJHKV&link_id=1178451136&_country=US&size=Small&show_express_checkout=true&atc_medium=cpc&atc_campaign=USA-PLA-FL&srsltid=AfmBOorSbzZLyUkf9n_j-IQrKxWf2v_fEldKTndPuaprxTq7wTkoPi6CBO4
