item_name,item_price,gender,img_url,original_listing_url
"""ACADEMY"" Cargo Pants M (w30)",$159.00,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT2TIP56ranT0uGPTQKO48c35j5MK_B-S-4jru_i4MDlzKgIH5jL973bjt7XN3065Ej9_OpL-Zda3DxrJAwFMnMtQcGT2RpY_2GUO_Mox4DOjhptFHVnn5roA&usqp=CAc,https://soraclothing.ca/products/academy-cargo-pants?variant=43043353493574&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32 Degrees Men's Stretch Comfort Jean - Slim Straight 4-Way Stretch Sweatpant Jean - DESERT KHAKI,$12.99,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTmDqZPcwD6xNccOjkV5hYGClefe8LpyH9v5mhd0-C6D9i5Y6LFXFEr4_s9woZ5VrGuWDhPShfGKdrfRx4Mbr4NXjyRgcdsgrCP8-1YwIw8bLkJYMs-fKgUhiG9p169eomXh_s5uA-cagc&usqp=CAc,https://www.32degrees.com/products/mens-stretch-comfort-jean-solid?variant=42980838506585&country=US&currency=USD&utm_medium=product_sync&utm_source=google
32 Degrees Women's Pants & Jumpsuits 32 Degrees Everyday,$14.99,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ1x1R6l0yqROpOIuzHxDitXrk7YRJFZfUh1vpOTPHmlyiA2FWNl2tX8d7sTlZx8pzANj4yDin9eG5IObSrlIJX01WezSvFUr7i9En0DhKMP7DCsPmAsq4q,https://www.32degrees.com/products/mens-stretch-comfort-jean-solid?variant=42980838506585&country=US&currency=USD&utm_medium=product_sync&utm_source=google
41 Hawthorn Pleated Crepe Wide Leg Pants,$78.00,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTULasRqC4hmpvjM_L_vMqPIFxND94WfF1dzlEGOEAwTcs7tPs5r0y758fYWoZHllNHW874Bmu7mjDQoSVhnzS1ECKa3Z8b5O2OprKBWUHkBb33R8vETPKfAA,https://www.google.com/search?udm=28&q=41+Hawthorn+Pleated+Crepe+Wide+Leg+Pants
5.11 Men's Taclite Pro Tactical Pants,$65.00,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRiTRj8I1K_RYhC0kmlnp8aq77z1rwfGENAMKS5QcKTQ_cc9qg5L_H5XquqW0wqdWjm2S6r4Lu3UgjgEVMybcVDGALnUgCb2rZtOh9gpdVCzvkyKmhUIJRXnA,https://www.google.com/search?udm=28&q=5.11+Men%27s+Taclite+Pro+Tactical+Pants
7DIAMONDS Men's Generation 5-Pocket Pant,$128.00,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSQEywpTm0lsp2_ZwAo_tBkDhhs8YeIuodQKWNz_Yj5iBQ6KpltxSSiipg882y2PMQlc_C2_MRLk3eCaj5duDJuiwHsQ4ME5Fdx_NzdrpxYbqC_tr5bqg7Flr0,https://www.google.com/search?udm=28&q=7DIAMONDS+Men%27s+Generation+5-Pocket+Pant
adidas Men's Essentials 3-Stripes Fleece Pants,$31.50,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRQDyyoy4pMjPOF0lgnKZQtqU5ucxLADdSipE8wdhoyY5mURoyuR0Kn4nKLh4eNZGd9AhIaKkd14sxF4Zg9CbjZFyv5FvGPkZPYrK0g-utOn2YHwhAVZ8UL,https://www.google.com/search?udm=28&q=adidas+Men%27s+Essentials+3-Stripes+Fleece+Pants
adidas Men's Tiro 24 Training Pants,$50.00,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQoTQWa1a77GUUdNNeHU5rJZ311G2BmPtm0SCyJn8KPLJaV3GJ6kw7MGUHpZdu4LSEYhGwbaYgWfjiF2atXIypl5vfrXvj6qFtTm_i28P88yU9okh4NRi9hIQ,https://www.google.com/search?udm=28&q=adidas+Men%27s+Tiro+24+Training+Pants
adidas Men's Tiro 25 Essentials Training Pants,$45.00,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRPnfE4yZ70Nf_C7-aK9wS66ODXOv4EAgZ6ePoYi9c8K8f-RrfpFW812kWKoPYTyF9t7DYeWCpUtoHFiTvvx7pZOC8_T56Vb8BPc94QvfEUwRGTkyortnULdQ,https://www.google.com/search?udm=28&q=adidas+Men%27s+Tiro+25+Essentials+Training+Pants
adidas Men's Trefoil Essentials Pants,$60.00,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSxlsNzMx5NqA3AtasiMqsY-3E3ZKsdtGkBmCtm-ChjdsSyQFWPlEcacwTx8g-O_PKpwu5EQAERzwu_248oYitbEn7IdhjU_11l9GQqJqtuABdert24czx8ew,https://www.google.com/search?udm=28&q=adidas+Men%27s+Trefoil+Essentials+Pants
AE Dreamy Drape Stretch Low-Rise Ultra Wide-Leg Pants,$56.95,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT7yFdnuGubbCms3xfRpe9OJyEOBu62-Jl1AGEocHvscmF8xCChadtXFhkD2Ltyvw5j2q51-f9eaDziIv-KVu1D61GqPhrmcJPvYoQRVx-lqgUNTqiM4epXJw,https://www.google.com/search?udm=28&q=AE+Dreamy+Drape+Stretch+Low-Rise+Ultra+Wide-Leg+Pants
AE Flex Men's Ultra Baggy Cargo Pants,$50.95,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQZyp2TOO9aP_2toFrHiSnPurJQKHgQ99eWKb5j4Bf0XeB3lp-kSnjW0Dr10p85sEd4pg67HgH18W3bZTEGMp_nYDDLJBoJXI0efACTVam87HSObzq5Qe-DFTg,https://www.google.com/search?udm=28&q=AE+Flex+Men%27s+Ultra+Baggy+Cargo+Pants
